,name,distance,mass,radius
0,Sun,0.000015813,1,1
1,Sirius,0008.6,2.1,1.71
2,Canopus,0310,15,71
3,Alpha Centauri,0004.4,1.1,1.2
4,Arcturus,0037,1.1,26
5,Vega,0025,2.2,2.7
6,Capella,0043,2.6,12
7,Rigel,0860,23,78.9
8,Procyon,0011.4,1.5,1.9
9,Betelgeuse,0640,20,950
10,Achernar,0144,6.7,9.3
11,Hadar,0390,10.5,8.6
12,Altair,0017,1.8,1.8
13,Acrux,0320,18,8.9
14,Aldebaran,0065,1.5,44
15,Antares,0600,12,680
16,Spica,0260,11.43,7.47
17,Pollux,0034,1.9,8.8
18,Fomalhaut,0025,1.9,1.8
19,Deneb,"2,600",19,203
20,Mimosa,0350,16,8.4
21,Regulus,0077,3.8,3.1
22,Adhara,0430,12.5,14
23,Shaula,0700,14.5,8.8
24,Castor,0052,2.8,2.4
25,Gacrux,0088,1.5,84
26,Bellatrix,0240,8.6,5.8
27,Elnath,0130,5.0,4.2
28,Miaplacidus,0110,3.5,6.8
29,Alnilam,"2,000",32,42
30,Gamma Velorum,"01,100",9.0,6
31,Alnair,0101,4.0,3.4
32,Alioth,0081,2.9,4.2
33,Alnitak,01050,33,20
34,Dubhe,0120,4.25,30
35,Mirfak,0590,8.5,68
36,Wezen,"1,600",17,200
37,Sargas,0270,5.7,26
38,Kaus Australis,0140,3.5,6.8
39,Avior,0630,9.0,130
40,Alkaid,0104,6.1,3.4
41,Menkalinan,081,2.39,2.77
42,Atria,0390,7,92
43,Alhena,0109,2.8,3.3
44,Peacock,0180,5.9,4.8
45,Alsephina[2],0080,2.4,2.9
46,Mirzam,0500,13.5,10
47,Polaris,0430,5.4,39
48,Alphard,0180,3.0,50
49,Mintaka,01200,24,16.5
50,Scheat,0196,2.1,95
51,Almaaz,0653,15,140
52,Rasalgethi,0360,2.8,280
53,Tau Ceti,011.9,0.783,0.893
54,Delta Pavonis,019.92,0.991,1.22
55,Ran,010.48,0.82,0.74
56,V382 Carinae,"08,900",20,485
57,Eta Carinae,"07,500",100,60–881
58,Delta Cephei,0887,4.5,44.5
59,Mu Cephei,"06,000",19.2,972
60,Titawin,044.25,1.27,1.48
61,Rho Cassiopeiae,"08,154",22,636-981
62,P Cygni,"05,545",30,76
63,La Superba,"01,000",,129 - 342
64,VV Cephei,"04,900",18.2,"516 - 1,050"
65,61 Cygni,011.41,0.7,0.665
66,R Doradus,0178,0.7 - 1.0,298
67,Polaris Australis,0281,1.59,3.74
68,R Coronae Borealis,"04,566",0.85,85
69,54 Piscium,036.1,0.76,0.94
70,Mira,0300,1.2,370
71,RW Cephei,"014,000",13.9,"1,158"
72,Lacaille 8760,012.87,0.6,0.51
73,V838 Monocerotis,"019,896",,380 - 750
74,HD 140283,0190,,1.4
75,II Pegasi,0130,0.8,3.4
76,VY Canis Majoris,"03,900",17,"1,420"
77,Pistol Star,"025,000",100,320
78,S Doradus,"0169,000",24,380
79,UY Scuti,"05,100",7–10,755
80,Barnard's Star,05.98,0.14,0.20
81,Luhman 16,06.52,0.04,
82,Proxima Centauri,04.25,0.12,0.15
83,KIC 8462852,"01,470",1.43,1.58
84,R136a1,"0163,000",290,32
85,Melnick 42,"0163,000",189,21.1
86,WR 102,"018,134",19,0.39
87,VFTS 352,"0164,000",57.48,14.47
88,YBP 1194,"02,772",1.01,0.99
89,Gliese 1214,047.5,0.16,0.21
90,NML Cygni,"05,251",50,"1,640 - 2,770"
91,VB 10,018.72,0.075,0.10
92,WOH G64,"0163,000",<20,"1,540 - 1,730"
93,TRAPPIST-1,039.6,0.089,0.12
94,2MASS J0523-1403,040.3,0.07,0.086
95,WISE 0855−0714,07.27,0.003,
96,Icarus,"014,400,000,000",33,
97,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173536999999999
98,2MASS J00040288-6410358,192.0,0.018137172,0.16750368999999998
99,LHS 102BC,,,
100,2MASS J00242463-0158201,37.7,0.075412452,0.11201167000000001
101,2MASS J00250365+4759191AB,143.0,,
102,2MASS J00274197+0503417,236.0,0.029592228,0.14797871999999998
103,2MASS J00275592+2219328,46.9,,
104,2MASSW J0030300-145033,87.2,0.051547752,0.10070773999999999
105,2MASS J00332386-1521309 [de],131.0,0.027683052,0.14695108999999998
106,2MASS J00345157+0523050,31.0,0.040092696000000004,0.09659721999999998
107,2MASS 0036+1821,28.6,0.040092696000000004,0.09659721999999998
108,2MASSW J0045214+163445,57.0,0.021955524,0.16647606
109,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.13359189999999999
110,2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659721999999998
111,2MASS J00034227-2822410,,,
112,2MASS J00584253-0651239 [de],96.0,0.027683052,0.14695108999999998
113,CFBDS J005910.90–011401.3,30.0,0.021955524,
114,2MASSI J0103320+193536,70.0,0.049638576000000004,0.10070773999999999
115,SDSSp J010752.33+004156.1 [de],51.0,0.049638576000000004,0.10070773999999999
116,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606
117,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843
118,SDSS J015141.69+124429.6,70.0,0.044865636,0.09968010999999999
119,DENIS-P J020529.0−115925A,65.0,,
120,DENIS-P J020529.0−115925B,65.0,,
121,DENIS-P J020529.0−115925C,65.0,,
122,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.09968010999999999
123,2MASS J02103857-3015313,101.0,0.014318820000000001,0.15722739
124,2MASS J02340093-6442068,155.0,0.01909176,0.16647606
125,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489582999999998
126,2MASS J02431371−2453298,35.0,0.031501404000000004,0.10173536999999999
127,LP 771-21,53.0,0.074457864,0.11098404
128,2MASS J02511327+0047364,,,
129,Teegarden's star,12.578,0.07636704,0.13050900999999998
130,2MASS J02535980+3206373,184.0,0.06204822,0.19524969999999997
131,WISE J0254+0223,24.0,0.06204822,0.19524969999999997
132,DEN 0255-4700,16.2,0.07636704,0.09968010999999999
133,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968010999999999
134,2MASS J03205965+1854233,47.0,0.084003744,0.11817744999999999
135,2MASS J03231002-4631237,192.0,0.021955524,0.17058658
136,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762484999999999
137,2MASS J03264225-2102057 [de],80.0,0.017182584,0.13359189999999999
138,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070773999999999
139,2MASS J03341218-4953322,27.0,0.069684924,0.10687352
140,LP 944-20,20.9,0.069684924,0.14695108999999998
141,2MASP J0345432+254023,88.0,0.070639512,0.10790115
142,Teide 1,380.0,0.05250234,0.38844413999999994
143,2MASS J03510004-0052452,48.0,0.09736797600000001,0.13050900999999998
144,2MASS J03552337+1133437,29.8,0.01909176,0.13564716
145,DENIS-P J035726.9-441730 [de],130.0,,
146,2MASS J04151954−0935066,18.6,0.028637640000000002,0.09762484999999999
147,SDSSp J042348.57-041403.5 [de],50.0,,
148,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167000000001
149,2MASS J04351612-1606574,34.0,0.0954588,0.12948137999999998
150,2MASS J04362788-4114465,142.0,0.037228932,0.20244310999999998
151,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968010999999999
152,2MASS J04414489+2301513,470.0,0.018137172,
153,2MASS J04433764+0002040,82.0,0.021000936,0.18291813999999998
154,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763
155,2MASS J04510093-3402150 [de],69.0,0.00099277152,7.398935999999999
156,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763
157,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181293999999997
158,2MASS J05160945-0445499 [de],73.0,0.044865636,0.09968010999999999
159,2MASS J0523−1403,40.0,0.064911984,0.10379063
160,2MASS 0532+8246,81.0,0.079230804,
161,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063
162,2MASS J05591914-1404488 [de],34.0,,
163,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998
164,2MASS J06085283-2753583,102.0,0.036274344,0.15517213
165,WISEP J061135.13-041024.0A,69.0,0.06204822,
166,WISEP J061135.13-041024.0B,69.0,0.050593164,
167,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173536999999999
168,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063
169,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115
170,2MASS J07003664+3157266 [de],40.0,,
171,2MASS J07075327-4900503,60.0,0.068730336,0.10584589
172,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999
173,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999998
174,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999998
175,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.09659721999999998
176,2MASS J0746425+200032 [fr],49.6,,
177,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589
178,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999
179,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998
180,DENIS J082303.1−491201A,67.0,0.042001872,
181,DENIS J082303.1−491201B,67.0,0.026728464,
182,2MASS J08251968+2115521 [de],35.0,0.049638576000000004,0.10070773999999999
183,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.10173536999999999
184,LHS 2021,55.0,0.084003744,0.11817744999999999
185,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865247999999999
186,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763
187,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763
188,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
189,2MASSI J0859254-194926 [de],50.0,0.0477294,0.10070773999999999
190,2MASSW J0920122+351742 [de],95.0,,
191,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998
192,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999
193,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865247999999999
194,2MASS J10073369-4555147,46.0,0.042001872,0.09659721999999998
195,2MASSI J1010148-040649 [de],55.0,0.048683988000000004,0.10070773999999999
196,2MASSI J1017075+130839 [de],108.0,,
197,SDSS J102109.69-030420.1,95.0,,
198,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489582999999998
199,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968010999999999
200,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659721999999998
201,DEN 1048-3956,13.15,0.073503276,0.10995641
202,Luhman 16B,6.516,0.041047284,0.10481826
203,Luhman 16A,6.516,0.03818352,0.10379063
204,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763
205,TWA 28,180.0,0.034365168,0.24560357
206,Cha 110913-773444,163.0,0.007636704,0.18497339999999998
207,OTS 44,554.0,0.014318820000000001,
208,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612
209,2MASS J11145133−2618235,18.2,0.031501404000000004,0.09865247999999999
210,TWA 26,137.0,0.028637640000000002,0.2260786
211,2MASSW J1146345+223053,89.0,,
212,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445
213,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763
214,TWA 27A,,,
215,TWA 27B,,,
216,2MASS J12074836-3900043,217.0,0.016227996,0.17572473
217,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.09659721999999998
218,2MASS J12255432-2739466,43.0,,
219,DENIS-P J1228.2-1547,66.0,,
220,2M 1237+6526,45.6,0.039138108,0.09659721999999998
221,2MASSW J1239272+551537 [de],119.0,,
222,TWA 29,262.0,0.001909176,2.5690749999999998
223,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.10070773999999999
224,Kelu-1A,61.0,0.060139044,0.10070773999999999
225,Kelu-1B,61.0,0.055366104,0.10070773999999999
226,2MASS J13204427+0409045,101.0,0.063957396,0.10379063
227,SDSSp J132629.82-003831.5 [de],65.0,0.048683988000000004,0.09968010999999999
228,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.09659721999999998
229,2MASS J13595510-4034582,51.0,0.060139044,0.102763
230,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865247999999999
231,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.10173536999999999
232,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.13564716
233,LHS 2924,38.5,0.072548688,0.10892878
234,2MASS J14392837+1929150,47.0,0.068730336,0.10584589
235,LSPM J1440+1339,72.0,0.087822096,0.12228796999999998
236,2MASS J14482563+1031590 [de],47.0,0.056320692,0.10173536999999999
237,CFBDSIR 1458+10A,104.0,0.0105959268,0.1541445
238,CFBDSIR 1458+10B,104.0,0.008591292,0.13359189999999999
239,TVLM 513-46546,35.1,0.07159410000000001,0.10790115
240,2MASS 1503+2525,20.7,0.042001872,0.09659721999999998
241,CFBDS J150411+102717,71.0,0.042001872,0.09659721999999998
242,2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481826
243,2MASS 1507−1627,23.9,0.057275280000000005,0.10173536999999999
244,TVLM 868-110639,53.0,0.075412452,0.11098404
245,SDSS J151114.66+060742.9 [de],89.0,,
246,2MASSW J1515008+484742 [de],34.0,0.054411516,0.10173536999999999
247,2MASSI J1526140+204341 [de],67.0,0.051547752,0.10070773999999999
248,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.102763
249,2MASS J15462718-3325111 [de],37.0,0.042001872,0.09659721999999998
250,2MASSW J1552591+294849 [de],68.0,0.028637640000000002,0.14695108999999998
251,2MASSW J1555157-095605 [de],44.0,0.067775748,0.10584589
252,2MASS J16150413+1340079 [de],48.0,0.040092696000000004,0.09659721999999998
253,SDSSp J162414.37+002915.6 [de],36.0,0.041047284,0.09659721999999998
254,2MASS J16262034+3925190 [de],110.0,0.067775748,0.10584589
255,2MASSW J1632291+190441 [de],50.0,0.046774812,0.09968010999999999
256,WISEPA J164715.59+563208.2,28.0,0.039138108,0.09659721999999998
257,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352
258,2MASSI J1726000+153819,114.0,0.022910112,0.14386819999999997
259,2MASSW J1728114+394859,79.0,,
260,SDSSp J175032.96+175903.9,90.0,0.044865636,0.09968010999999999
261,2MASS J18283572-4849046,39.0,0.04295646,0.09762484999999999
262,LSR J1835+3259,18.5,0.073503276,0.10995641
263,2MASSW J1841086+311727,138.0,0.063957396,0.10379063
264,2MASS J18432213+4040209,46.0,0.091640448,0.12537086
265,2MASS J20004841-7523070,105.0,0.0238647,0.19319443999999997
266,SDSS J204749.61-071818.3,65.0,0.043911048,0.09865247999999999
267,2MASSI J2057540-025230,47.0,0.06682116,0.10481826
268,2MASSW J2101154+175658,108.0,,
269,2MASSI J2104149-103736,62.0,0.065866572,0.10481826
270,PSO J318.5−22,80.0,0.0062048220000000005,0.15722739
271,HB 2124-4228,113.0,0.089731272,0.12434322999999999
272,2MASS J21392676+0220226,32.1,0.043911048,0.09865247999999999
273,2MASS J21481628+4003593,26.3,0.05250234,0.10173536999999999
274,2MASS J14112131-2119503,,,
275,2MASSW J2206450-421721,93.0,0.021000936,0.13667479
276,2MASSW J2208136+292121,154.0,0.025773876,0.14489582999999998
277,2MASSW J2224438-015852,38.0,0.058229868000000004,0.10173536999999999
278,2MASS J22282889-4310262,35.0,0.040092696000000004,0.09659721999999998
279,2MASS J22373255+3922398,64.0,0.069684924,0.10687352
280,2MASSW J2244316+204343,56.0,0.011455056,0.13256426999999998
281,2MASS J23224684-3133231,56.0,0.022910112,0.14284056999999997
282,2MASS J23225299-6151275,148.0,0.016227996,0.16339317
283,2MASS J23515044-2537367,67.0,0.084003744,0.11920507999999998
284,2MASSI J2356547-155310,74.0,0.07636704,0.11201167000000001
285,WISE 0005+3737,23.2,,
286,WISE 0008-1739,87.1,,
287,WISE 0015-4615,48.6,,
288,WISE 0031-3840,71.8,,
289,WISE 0032-4946,62.9,,
290,WISE 0038+2758,36.9,,
291,WISE 0038+8405,101.8,,
292,WISE 0040+0900,47.6,,
293,WISE 0049+0441,62.6,,
294,WISE 0049+2151,24.1,,
295,WISE 0106+1518,142.9,,
296,WISE 0123+4142,67.2,,
297,WISE 0135+1715,77.3,,
298,WISE 0138-0322,57.7,,
299,WISE 0146+4234,20.5,,
300,WISE 0148-7202,30.0,,
301,WISE 0150+3827,61.3,,
302,WISE 0206+2640,58.4,,
303,WISE 0221+3842,73.1,,
304,WISE 0223-2932,47.0,,
305,WISE 0226-0211,91.0,,
306,WISE 0241-3653,53.8,,
307,WISE 0245-3450,56.1,,
308,WISE 0247+3725,57.1,,
309,WISE 0305+3954,75.0,,
310,WISE 0307+2904,82.8,,
311,WISE 0313+7807,28.0,,
312,WISE 0316+4307,106.3,,
313,WISE 0321-7347,84.8,,
314,WISE 0323-6025,45.3,,
315,WISE 0325-3854,51.2,,
316,WISE 0325+0831,36.5,,
317,WISE 0333-5856,54.8,,
318,WISE 0335+4310,45.7,,
319,WISE 0336-0143,55.4,,
320,WISE 0350-5658,17.7,,
321,WISE 0359-5401,19.2,,
322,WISE 0410+1502,20.0,0.005727528,0.12023270999999998
323,WISE 0410+1411,85.8,,
324,WISE 0413-4750,66.2,,
325,WISE 0448-1935,69.8,,
326,WISE 0458+6434A,35.9,0.014318820000000001,0.4316046
327,WISE 0458+6434B,35.9,0.00954588,0.39049939999999994
328,WISE 0500-1223,47.0,,
329,WISE 0513+0608,44.7,,
330,WISE 0525+6739,98.2,,
331,WISE 0528-3308,57.4,,
332,WISE 0535-7500,47.0,,
333,WISE 0539-1034,84.8,,
334,WISE 0542-1628,50.6,,
335,WISE 0607+2429,25.4,,
336,WISE 0611-0410,57.7,,
337,WISE 0612-4920,95.2,,
338,WISE 0612-3036,64.9,,
339,WISE 0614+3912,50.2,,
340,WISE 0614+0951,51.5,,
341,WISE 0623-0456,37.5,,
342,WISE 0625+5646,67.2,,
343,WISE 0627-1114,37.2,,
344,WISE 0647-6232,28.0,,
345,WISE 0656+4205,54.1,,
346,WISE 0713-2917,23.2,,
347,WISE 0723+3403,45.7,,
348,WISE 0733+7544,78.3,,
349,WISE 0734-7157,34.9,,
350,WISE 0744+5628,47.3,,
351,WISE 0750+2725,51.5,,
352,WISE 0751-7634,39.1,,
353,WISE 0759-4904,38.8,,
354,WISE 0811-8051,32.0,,
355,WISE 0812+4021,63.6,,
356,WISE 0819-0335,46.0,,
357,WISE 0821+1443,68.2,,
358,WISE 0836-1859,72.4,,
359,WISE 0857+5604,42.1,,
360,WISE 0906+4735,51.5,,
361,WISE 0929+0409,64.9,,
362,WISE 0952+1955,72.1,,
363,WISE 1018-2445,47.6,,
364,WISE 1019+6529,56.8,,
365,WISE 1039-1600,47.3,,
366,WISE 1042-3842,53.2,,
367,WISE 1051-2138,40.8,,
368,WISE 1122+2550,57.7,,
369,WISE 1124-0421,50.6,,
370,WISE 1147-2040,102.0,,
371,WISE 1150+6302,32.9,,
372,WISE 1217+1626A,34.2,0.011455056,
373,WISE 1217+1626B,34.2,0.005727528,
374,WISE 1225-1013,55.4,,
375,WISE 1311+0122,44.4,,
376,WISE 1311+3629,86.1,,
377,WISE 1318-1758,32.9,,
378,WISE 1320+6034,56.1,,
379,WISE 1322-2340,33.9,,
380,WISE 1348+6603,91.0,,
381,WISE 1405+5534,25.3,0.028637640000000002,0.08837618
382,WISE 1433-0837,84.8,,
383,WISE 1436-1814,60.0,,
384,WISE 1457+5815,52.2,,
385,WISE 1506+7027,11.1,,
386,WISE 1517+0529,72.4,,
387,WISE 1519+7009,50.9,,
388,WISE 1523+3125,84.5,,
389,WISE 1541-2250,20.0,,
390,WISE 1542+2230,41.1,,
391,WISE 1612-3420,55.4,,
392,WISE 1614+1739,32.6,,
393,WISE 1617+1807,50.2,,
394,WISE 1622-0959,52.2,,
395,WISE 1627+3255,50.2,,
396,WISE 1639-6847,16.3,,
397,WISE 1647+5632,28.0,,
398,WISE 1653+4444,39.5,,
399,WISE 1711+3500,60.3,,
400,WISE 1717+6129,72.7,,
401,WISE 1721+1117,62.3,,
402,WISE 1728+5716,97.8,,
403,WISE 1738+2732,20.0,,
404,WISE 1741+2553,18.9,,
405,WISE 1746-0338,83.8,,
406,WISE 1800+0134,28.7,0.054411516,
407,WISE 1804+3117,30.0,,
408,WISE 1809+3838,74.4,,
409,WISE 1812+2721,47.0,,
410,WISE 1828+2650,36.0,,
411,WISE 1830+4542,107.0,,
412,WISE 1841+7000,131.1,,
413,WISE 1852+3537,55.4,,
414,WISE 1906+4508,51.5,,
415,WISE 1928+2356,22.8,,
416,WISE 1952+7240,44.4,,
417,WISE 1959-3338,37.2,,
418,WISE 2030+0749,34.2,,
419,WISE 2014+0424,96.2,,
420,WISE 2015+6646,50.6,,
421,WISE 2018-7423,47.9,,
422,WISE 2019-1148,42.4,,
423,WISE 2056+1459,24.5,,
424,WISE 2134-7137,42.7,,
425,WISE 2157+2659,61.6,,
426,WISE 2209-2734,46.0,,
427,WISE 2213+0911,58.7,,
428,WISE 2220-3628,26.4,,
429,WISE 2226+0440,45.0,,
430,WISE 2237-0614,53.5,,
431,WISE 2237+7228,46.0,,
432,WISE 2239+1617,59.7,,
433,WISE 2255-3118,44.7,,
434,WISE 2301+0216,60.7,,
435,WISE 2313-8037,35.9,,
436,WISE 2319-1844,52.2,,
437,WISE 2325-4105,37.5,,
438,WISE 2327-2730,70.8,,
439,WISE 2335+4222,90.3,,
440,WISE 2340-0745,37.8,,
441,WISE 2342+0856,51.2,,
442,WISE 2343-7418,48.6,,
443,WISE 2344+1034,46.0,,
444,WISE 2348-1028,54.1,,
445,WISE 2357+1227,54.8,,
446,WISE 2359-7335,42.7,,
447,WISEA 1101+5400,111.0,,
